having_ip_address,url_length,shortening_service,having_at_symbol,double_slash_redirecting,prefix_suffix,having_sub_domain,ssl_state,domain_registration_length,favicon,port,https_token,request_url,url_of_anchor,links_in_tags,sfh,submitting_to_email,abnormal_url,redirect,on_mouseover,right_click,popup_window,iframe,dns_record,age_of_domain,web_traffic,page_rank,google_index,links_pointing_to_page,statistical_report,label
0,1,1,1,1,1,0,-1,0,-1,-1,-1,1,1,1,-1,-1,1,1,-1,-1,1,0,-1,1,-1,1,-1,-1,-1,1
1,-1,0,1,0,1,1,-1,0,0,1,1,0,1,-1,1,-1,1,0,1,-1,1,-1,1,0,-1,-1,-1,1,1,1
1,-1,-1,-1,-1,0,1,-1,-1,1,1,1,0,1,1,-1,-1,1,-1,0,1,-1,-1,1,1,-1,0,-1,-1,1,-1
1,1,1,-1,1,-1,1,0,1,1,1,1,-1,1,1,1,-1,1,1,1,-1,-1,1,1,-1,0,-1,0,1,-1,-1
-1,1,1,1,1,-1,1,1,-1,1,1,1,-1,-1,1,0,1,-1,-1,1,1,1,1,1,-1,1,1,1,-1,1,-1
-1,1,0,1,-1,1,0,1,1,1,-1,1,1,0,1,0,1,1,1,-1,0,-1,1,1,1,-1,1,0,-1,1,1
-1,0,1,1,-1,1,1,-1,0,-1,1,1,-1,1,1,0,1,0,0,0,-1,-1,0,1,1,0,0,1,1,-1,-1
1,1,0,1,1,0,1,-1,1,-1,1,-1,1,-1,-1,1,-1,0,1,1,0,-1,0,1,-1,-1,-1,0,0,1,-1
1,0,-1,0,1,-1,1,-1,-1,-1,1,0,-1,1,1,1,1,0,1,1,1,1,1,-1,1,1,1,0,1,1,1
1,1,-1,0,-1,1,-1,1,1,0,-1,1,1,1,0,1,1,1,-1,-1,-1,1,1,-1,-1,-1,1,1,1,1,-1
-1,1,0,0,1,1,-1,1,-1,-1,1,1,0,1,-1,-1,0,-1,-1,-1,1,1,-1,1,-1,1,-1,1,-1,1,0
1,-1,1,1,1,-1,1,-1,1,1,0,0,1,1,0,-1,1,0,0,-1,1,1,0,1,-1,1,1,0,1,1,-1
1,1,-1,0,0,0,-1,-1,-1,1,-1,-1,1,-1,-1,1,1,1,0,1,-1,-1,-1,-1,-1,1,0,0,-1,-1,0
-1,1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,0,1,-1,1,0,1,1,1,1,-1,0,1,0,-1
-1,-1,1,1,1,0,-1,1,1,-1,-1,-1,0,1,1,0,-1,-1,-1,-1,1,1,-1,1,1,-1,-1,1,1,-1,1
-1,1,-1,-1,-1,0,-1,1,1,-1,1,1,-1,1,1,-1,-1,1,1,1,-1,0,1,0,0,1,-1,0,1,1,1
-1,-1,-1,1,0,1,1,1,0,-1,0,1,-1,1,1,0,-1,-1,0,1,-1,1,1,-1,-1,1,1,1,1,-1,1
1,1,1,1,-1,-1,-1,1,1,1,-1,1,-1,1,1,1,-1,-1,1,-1,0,1,0,-1,0,0,1,-1,1,-1,1
0,-1,-1,1,-1,0,1,-1,-1,0,1,-1,1,1,1,1,-1,1,0,-1,-1,-1,1,1,-1,0,1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,0,1,0,-1,1,0,-1,1,1,-1,-1,1,1,1,1,0,1,0,1,1,1,1,1,1
1,0,0,-1,1,-1,1,-1,-1,-1,0,1,-1,1,0,-1,1,-1,1,1,1,-1,1,0,1,-1,-1,1,0,0,-1
-1,1,0,-1,1,0,1,1,1,0,1,1,-1,1,1,1,-1,0,-1,1,-1,1,-1,1,-1,-1,1,1,1,1,-1
-1,1,1,-1,0,-1,1,1,0,0,1,-1,-1,1,0,0,1,1,1,1,0,1,1,1,-1,1,1,1,1,-1,-1
0,1,1,-1,-1,-1,1,-1,0,1,-1,1,1,1,1,1,1,0,1,1,1,-1,0,1,1,-1,-1,1,-1,0,-1
0,0,0,1,1,1,-1,1,1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,1,1,1,0,1,1,-1,-1,1,-1,-1
1,-1,1,0,1,1,1,1,1,1,-1,1,-1,1,0,-1,1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,1,1,1
-1,1,1,1,1,1,-1,-1,1,1,-1,0,-1,-1,0,1,-1,-1,1,-1,1,-1,-1,0,0,1,0,0,1,-1,1
1,1,-1,1,1,-1,1,1,-1,1,1,-1,1,1,1,-1,-1,1,-1,1,-1,-1,0,1,-1,1,0,-1,-1,1,-1
1,0,-1,-1,1,0,0,0,1,0,-1,-1,1,-1,-1,0,1,1,1,1,-1,-1,-1,1,-1,1,1,1,1,-1,-1
-1,-1,1,1,-1,0,-1,-1,0,-1,1,-1,-1,1,0,-1,1,-1,1,-1,-1,0,1,0,-1,1,-1,0,-1,-1,1
1,1,1,1,-1,-1,1,-1,0,-1,1,-1,0,1,1,1,-1,-1,0,1,1,-1,1,-1,-1,-1,1,0,0,1,1
-1,-1,-1,1,-1,-1,1,-1,1,1,1,1,1,-1,-1,1,0,1,-1,1,-1,-1,-1,1,1,-1,1,-1,-1,-1,1
-1,1,-1,-1,0,-1,-1,1,0,1,1,1,0,0,1,1,0,1,1,-1,-1,0,1,1,1,-1,-1,1,1,-1,-1
1,1,0,1,1,1,1,1,-1,-1,1,-1,1,-1,-1,1,1,-1,1,1,-1,-1,1,1,1,1,-1,-1,1,1,1
1,1,-1,-1,1,1,-1,0,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,0,1,1,0,1,-1,-1,1,-1,1,1,1
1,1,1,1,1,1,-1,1,1,-1,-1,1,1,1,0,-1,-1,1,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,1,-1
-1,-1,-1,1,-1,1,1,1,1,-1,1,1,-1,1,1,-1,1,1,-1,1,-1,1,-1,1,1,1,-1,-1,0,1,1
-1,1,-1,-1,1,-1,-1,1,1,1,-1,1,0,-1,-1,0,1,-1,0,1,1,1,1,-1,1,-1,1,1,1,1,1
1,1,0,-1,0,1,-1,-1,-1,1,-1,-1,-1,1,1,-1,0,1,1,1,-1,0,1,1,1,1,1,1,-1,1,1
0,-1,1,1,1,0,1,-1,1,1,1,0,-1,1,-1,-1,-1,-1,1,-1,-1,1,0,1,1,0,1,-1,-1,-1,1
-1,1,0,1,-1,-1,1,0,1,1,1,1,-1,-1,1,1,1,1,1,1,-1,-1,-1,-1,1,1,1,1,0,0,1
0,0,0,1,-1,1,0,1,-1,-1,-1,1,-1,1,-1,1,-1,1,1,1,1,-1,-1,-1,1,1,-1,1,1,1,-1
-1,1,1,-1,1,0,1,1,-1,1,-1,1,1,0,-1,-1,-1,1,0,-1,0,1,-1,1,1,1,-1,0,-1,1,-1
1,0,1,-1,1,-1,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,1,-1,0,-1,-1,1,1,-1,1
-1,1,0,-1,1,-1,1,1,1,1,1,-1,-1,-1,-1,1,0,1,0,1,-1,-1,1,0,0,1,1,1,-1,1,1
1,-1,0,1,-1,-1,1,-1,-1,-1,1,1,0,1,1,1,1,0,1,-1,1,1,1,1,-1,1,1,-1,1,-1,-1
-1,0,-1,-1,1,1,1,1,0,1,1,1,0,1,-1,-1,1,1,-1,0,0,-1,-1,1,1,0,1,1,-1,-1,1
1,1,1,-1,1,-1,-1,1,1,1,-1,-1,-1,1,1,0,-1,-1,0,0,1,1,-1,1,1,1,-1,1,1,1,1
1,1,0,0,1,1,0,1,-1,-1,0,1,1,-1,1,-1,0,0,1,-1,1,1,-1,-1,1,-1,1,1,1,0,1
-1,-1,-1,1,1,-1,1,1,-1,1,1,1,-1,-1,1,1,-1,1,1,0,-1,-1,1,1,-1,1,0,1,1,1,-1
1,-1,-1,1,1,-1,1,0,1,-1,1,0,-1,-1,1,-1,-1,1,1,1,-1,1,1,1,1,1,-1,1,1,0,-1
1,-1,-1,1,0,-1,-1,-1,1,1,0,1,1,0,1,0,1,0,-1,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,0
1,1,1,1,-1,0,1,1,0,-1,-1,-1,-1,1,1,1,1,1,1,0,1,1,1,1,0,-1,1,-1,-1,1,1
1,1,-1,0,1,-1,-1,1,-1,-1,1,1,1,0,-1,-1,-1,-1,0,1,0,0,-1,-1,-1,1,1,1,1,1,-1
1,1,-1,0,1,1,-1,-1,0,-1,1,1,-1,1,-1,-1,0,0,1,-1,1,-1,1,-1,-1,-1,1,-1,-1,1,1
1,1,1,1,-1,-1,-1,1,-1,1,0,-1,1,1,1,0,1,1,1,1,-1,-1,0,-1,0,1,-1,1,1,0,-1
-1,1,1,1,-1,1,1,-1,0,1,1,1,1,1,1,0,-1,1,0,-1,1,-1,-1,1,-1,1,-1,-1,-1,1,-1
-1,0,-1,0,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,0,1,-1,0,-1,0,-1,-1,-1,-1,1,1
-1,-1,1,1,-1,-1,1,-1,1,1,0,1,1,1,0,-1,1,1,-1,1,0,1,0,1,-1,-1,1,1,-1,1,-1
-1,1,-1,1,-1,1,1,1,-1,1,-1,-1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,1,1,-1,1,-1,1
0,1,1,1,1,1,-1,-1,0,-1,1,1,0,-1,1,1,0,1,-1,1,1,-1,0,0,0,1,0,1,-1,-1,-1
-1,1,1,1,-1,1,0,1,1,1,0,1,0,1,0,1,-1,-1,1,-1,-1,-1,0,-1,1,-1,1,1,-1,1,-1
1,1,1,1,-1,0,-1,1,1,1,0,0,1,1,1,-1,-1,1,-1,0,-1,0,1,-1,-1,1,1,1,-1,-1,1
0,1,1,-1,0,0,0,-1,-1,1,1,1,1,1,0,-1,1,1,1,0,0,1,1,-1,1,-1,1,1,1,-1,1
-1,1,-1,1,0,1,1,1,0,0,1,0,1,-1,1,1,1,1,1,1,0,0,1,-1,0,0,-1,-1,1,-1,1
1,0,1,1,0,-1,1,1,0,1,1,-1,1,1,1,1,1,-1,0,1,1,1,-1,0,1,1,-1,-1,0,1,1
-1,-1,-1,0,1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,1,1,-1,0,-1,-1,1,1,-1,0,1,1
1,1,-1,-1,1,-1,1,-1,0,1,-1,1,1,0,-1,0,-1,1,1,1,0,1,1,-1,1,-1,-1,1,-1,1,1
-1,1,1,1,0,0,1,-1,-1,1,-1,-1,1,1,-1,-1,1,1,-1,1,-1,0,1,0,1,-1,0,-1,-1,1,0
1,-1,1,-1,0,-1,1,-1,-1,1,-1,1,1,-1,-1,-1,1,0,1,1,-1,-1,-1,1,1,1,0,1,1,-1,0
1,0,1,1,1,-1,0,-1,-1,1,1,1,1,1,1,-1,0,0,1,0,-1,1,-1,1,-1,1,-1,1,-1,-1,1
-1,0,-1,-1,-1,0,1,-1,0,-1,1,-1,-1,-1,-1,-1,1,1,1,1,0,-1,1,-1,0,0,1,1,1,-1,-1
-1,-1,0,1,1,-1,-1,1,1,1,0,1,1,1,-1,1,1,1,1,-1,-1,0,1,1,1,1,-1,-1,1,-1,1
1,1,-1,1,-1,-1,1,0,1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,1,-1,0,1,1,1,0,1,1
1,0,1,0,1,1,0,0,1,-1,0,-1,-1,1,1,1,1,-1,1,0,-1,0,-1,-1,-1,1,1,1,1,0,1
1,1,-1,0,1,1,-1,-1,-1,0,-1,1,1,-1,1,1,-1,1,-1,1,1,-1,0,-1,0,1,1,1,-1,1,0
1,-1,-1,-1,1,-1,0,1,-1,1,1,1,1,-1,1,1,0,-1,1,1,1,1,1,1,1,0,-1,1,1,-1,0
-1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,-1,1,1,-1,1,1,-1,1,0,1,-1,1,0,1,1,1,-1,1,-1
0,-1,1,0,1,-1,1,1,-1,1,-1,1,0,1,-1,-1,1,1,1,-1,1,0,1,1,0,1,1,0,1,1,1
-1,1,-1,-1,-1,1,1,0,-1,0,1,-1,-1,1,-1,-1,1,1,-1,-1,-1,1,1,-1,0,-1,-1,0,0,1,-1
1,1,1,1,1,1,0,-1,1,-1,1,0,1,1,1,-1,-1,1,1,1,-1,1,-1,1,1,1,-1,1,-1,1,-1
1,1,-1,1,0,-1,-1,1,0,1,-1,-1,1,-1,1,1,-1,1,-1,1,1,0,1,0,-1,0,0,1,1,-1,-1
-1,-1,-1,-1,-1,1,1,1,1,-1,-1,1,-1,0,-1,0,-1,1,0,1,1,1,1,1,1,-1,1,1,1,1,-1
-1,-1,0,-1,1,-1,1,-1,1,1,1,1,1,1,0,1,-1,-1,-1,1,1,-1,0,1,1,-1,-1,-1,1,-1,-1
-1,-1,1,-1,-1,-1,1,1,0,1,-1,-1,-1,-1,1,0,-1,0,1,1,0,0,-1,-1,-1,1,0,1,-1,-1,-1
-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1
1,1,-1,-1,0,-1,-1,-1,1,1,1,1,1,-1,-1,1,-1,-1,1,1,1,-1,-1,1,-1,1,-1,1,0,1,-1
1,1,1,-1,-1,1,-1,1,1,1,1,1,1,1,-1,-1,1,0,1,1,0,1,0,1,-1,1,1,-1,0,-1,1
1,1,-1,0,1,0,0,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,-1,-1,1,1,-1,-1,-1,1,1,1,-1
0,1,1,1,0,1,1,-1,-1,1,0,0,1,-1,1,-1,1,0,-1,-1,1,1,1,1,1,1,0,-1,1,1,-1
-1,-1,-1,1,1,1,1,1,1,1,1,-1,1,1,-1,1,-1,1,0,1,1,1,1,-1,-1,0,-1,0,1,0,1
1,-1,0,1,1,0,1,1,-1,1,-1,0,-1,-1,1,0,-1,1,-1,1,-1,1,1,-1,1,-1,0,-1,1,-1,0
1,-1,-1,-1,0,1,-1,1,-1,0,-1,-1,1,1,1,1,1,-1,1,1,-1,-1,0,-1,-1,-1,-1,-1,0,1,-1
1,1,0,-1,0,0,1,0,1,-1,1,1,1,1,0,-1,0,1,1,-1,1,-1,0,1,1,-1,-1,1,1,0,1
1,1,1,-1,-1,-1,-1,1,-1,1,-1,1,1,1,-1,1,1,-1,1,0,-1,1,1,-1,-1,0,-1,1,0,1,1
0,-1,1,1,1,1,1,1,1,1,-1,0,-1,0,-1,1,-1,-1,-1,-1,1,-1,1,1,-1,-1,1,1,1,0,0
1,-1,1,-1,1,1,-1,-1,1,1,-1,1,1,1,-1,1,-1,1,0,1,1,0,1,1,-1,-1,1,1,-1,-1,-1
0,1,1,0,-1,0,1,1,-1,1,-1,1,1,1,1,-1,1,-1,-1,-1,0,1,0,1,-1,1,1,1,1,1,-1
-1,1,-1,0,-1,0,0,1,0,1,1,-1,1,0,-1,1,1,1,1,-1,-1,1,1,-1,1,1,-1,-1,-1,1,1
-1,1,-1,1,1,-1,0,0,-1,-1,1,-1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,-1,1,1,1,1,1,-1,1
-1,0,1,-1,1,1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,1,0,1,1,1,1,-1
1,-1,1,1,1,1,-1,1,1,1,-1,1,-1,1,1,1,1,1,1,-1,-1,1,0,1,-1,-1,-1,-1,1,1,1
-1,1,-1,1,1,1,-1,-1,1,0,-1,-1,-1,1,-1,0,-1,1,-1,-1,1,1,-1,1,1,1,1,1,1,1,1
1,1,1,0,1,-1,1,1,-1,-1,-1,1,1,1,-1,1,-1,0,1,1,-1,-1,1,-1,-1,0,-1,1,1,-1,1
1,-1,0,1,1,1,-1,-1,1,1,1,-1,0,0,1,1,-1,-1,0,1,0,0,0,-1,0,1,1,-1,1,1,-1
-1,1,1,1,1,-1,-1,1,-1,1,1,-1,1,1,1,-1,-1,1,1,0,1,1,0,1,1,0,1,0,1,1,1
0,1,1,1,1,0,1,1,-1,1,1,-1,0,0,-1,1,1,1,-1,-1,-1,0,1,-1,1,1,1,1,-1,0,-1
1,-1,1,-1,1,1,-1,1,0,1,-1,0,1,0,-1,1,-1,1,1,1,1,-1,-1,-1,1,1,1,1,-1,-1,1
-1,0,-1,-1,-1,1,1,0,1,1,1,1,-1,1,1,1,0,1,-1,1,1,1,-1,1,-1,-1,0,1,1,1,-1
-1,-1,1,1,-1,1,-1,-1,1,-1,1,-1,0,-1,1,-1,1,0,1,-1,1,0,1,0,1,-1,1,1,1,0,1
-1,-1,1,0,1,1,1,1,-1,1,-1,1,-1,-1,1,1,-1,1,-1,1,-1,1,0,1,-1,-1,1,0,1,0,1
-1,1,-1,1,-1,1,1,-1,-1,1,0,1,1,1,-1,-1,1,1,-1,-1,1,-1,-1,1,-1,1,-1,1,1,-1,1
1,-1,0,1,1,0,1,-1,1,1,1,-1,0,-1,0,1,-1,1,1,1,1,1,1,-1,1,0,1,1,0,1,0
1,1,1,1,1,1,1,1,1,1,0,1,1,-1,1,1,1,-1,1,-1,-1,1,0,0,-1,-1,1,-1,-1,0,-1
1,1,-1,-1,0,-1,1,-1,-1,1,1,1,-1,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,0,-1,-1,1,1
1,-1,-1,1,0,0,0,1,-1,-1,0,1,-1,1,1,-1,1,1,0,1,1,1,1,1,-1,0,-1,-1,0,0,-1
1,0,-1,1,-1,-1,-1,1,-1,1,1,1,1,1,1,-1,1,0,-1,-1,1,1,1,1,0,-1,0,1,1,1,1
-1,1,1,1,-1,1,-1,-1,0,-1,1,-1,0,1,1,1,-1,-1,-1,1,-1,-1,1,1,1,1,-1,-1,-1,1,1
1,1,1,-1,1,1,-1,1,0,-1,0,-1,1,1,1,0,1,1,0,1,-1,1,0,0,-1,-1,0,0,0,-1,-1
1,1,1,1,-1,-1,1,-1,0,1,1,-1,0,1,1,1,-1,-1,0,-1,1,1,1,0,1,1,1,1,-1,1,0
1,-1,-1,-1,1,1,1,0,1,1,0,1,1,1,-1,1,-1,1,1,1,1,-1,-1,1,-1,1,1,1,-1,-1,-1
1,0,1,-1,-1,-1,1,-1,1,-1,-1,1,1,1,-1,1,1,1,-1,1,0,-1,-1,-1,1,1,0,1,1,1,-1
-1,1,1,1,1,-1,0,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1
-1,1,1,1,-1,0,1,0,1,-1,-1,-1,1,-1,0,-1,-1,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,1,1,1
-1,-1,-1,0,1,-1,-1,1,1,0,-1,0,-1,-1,0,-1,1,1,-1,1,1,-1,0,-1,1,-1,1,1,1,1,1
0,1,1,1,-1,-1,1,1,-1,-1,1,-1,0,1,-1,1,-1,0,1,1,1,-1,1,1,-1,0,-1,-1,1,1,1
1,-1,0,-1,-1,1,1,1,-1,0,1,1,-1,-1,1,1,1,1,-1,-1,0,1,-1,1,-1,1,1,1,1,-1,-1
1,1,-1,-1,1,-1,1,-1,0,1,-1,0,1,1,1,1,1,0,-1,1,1,1,1,-1,0,-1,-1,1,1,-1,-1
